Generic,Shape,Route,Indication,Specialty,Gender,MinAgeMo,MaxAgeMo,MinWghtKg,MaxWghtKg,MinGestDays,MaxGestDays,MinPMAge,MaxPMAge,Frequencies,Unit,NormDose,MinDose,MaxDose,AbsMaxDose,MaxPerDose,DosePerKg,DosePerM2
abacavir,drank,or,hiv,,,,,,,,,,,,mg,,,,,,,
abacavir,drank,or,hiv,,,1,240,,,,,,,1 x / dag||2 x / dag,mg,16,,,600,,x,
abacavir,tablet,or,hiv,,,,,,,,,,,,mg,,,,,,,
abacavir,tablet,or,hiv,,,1,240,,,,,,,1 x / dag||2 x / dag,mg,16,,,600,,x,
abacavir+lamivudine,tablet,or,hiv,,,,,,,,,,,,stuk,,,,,,,
abacavir+lamivudine,tablet,or,hiv,,,,,25,,,,,,1 x / dag,stuk,1,1,1,1,,,
abatacept,poeder voor oplossing voor infusie,iv,juveniele idiopathische arthritis (j.i.a.),,,,,,,,,,,,mg,,,,,,,
abatacept,poeder voor oplossing voor infusie,iv,juveniele idiopathische arthritis (j.i.a.),,,24,72,,,,,,,1 x / 2 weken||1 x / 4 weken,mg,10,,11,,,x,
abatacept,poeder voor oplossing voor infusie,iv,juveniele idiopathische arthritis (j.i.a.),,,72,240,75,100,,,,,1 x / 2 weken||1 x / 4 weken,mg,,,,,750,,
abatacept,poeder voor oplossing voor infusie,iv,juveniele idiopathische arthritis (j.i.a.),,,72,240,100,,,,,,1 x / 2 weken||1 x / 4 weken,mg,,,,,1000,,
abatacept,poeder voor oplossing voor infusie,iv,juveniele idiopathische arthritis (j.i.a.),,,72,240,,75,,,,,1 x / 2 weken||1 x / 4 weken,mg,10,,11,,,x,
abatacept,injectievloeistof,sc,juveniele idiopathische arthritis (j.i.a.),,,,,,,,,,,,mg,,,,,,,
abatacept,injectievloeistof,sc,juveniele idiopathische arthritis (j.i.a.),,,24,,10,25,,,,,1 x / week,mg,50,,50,50,,,
abatacept,injectievloeistof,sc,juveniele idiopathische arthritis (j.i.a.),,,24,,25,50,,,,,1 x / week,mg,87.5,,87.5,87.5,,,
abatacept,injectievloeistof,sc,juveniele idiopathische arthritis (j.i.a.),,,24,,50,,,,,,1 x / week,mg,125,,125,125,,,
abatacept,poeder voor oplossing voor infusie,iv,therapieresistente focale segmentale glomerulosclerose (fsgs),,,,,,,,,,,,mg,,,,,,,
abatacept,injectievloeistof,sc,therapieresistente focale segmentale glomerulosclerose (fsgs),,,,,,,,,,,,mg,,,,,,,
acenocoumarol,tablet,or,antistolling,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,poeder voor injectievloeistof,iv,diureticum bij oedeem,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,diureticum bij oedeem,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,diureticum bij oedeem,,,1,240,,,,,,,1 x / dag,mg,5,,,375,,x,
acetaZOLAMIDE,poeder voor injectievloeistof,iv,"epilepsie, adjuvante therapie",,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,poeder voor injectievloeistof,iv,"epilepsie, adjuvante therapie",,,1,240,,,,,,,2 x / dag||3 x / dag,mg,,8,30,1500,,x,
acetaZOLAMIDE,tablet,or,"epilepsie, adjuvante therapie",,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,"epilepsie, adjuvante therapie",,,1,240,,,,,,,2 x / dag||3 x / dag,mg,,8,30,1500,,x,
acetaZOLAMIDE,poeder voor injectievloeistof,iv,verlaging intracraniele druk,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,verlaging intracraniele druk,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,verlaging intracraniele druk,,,1,240,,,,,,,3 x / dag,mg,30,,100,1500,,x,
acetaZOLAMIDE,poeder voor injectievloeistof,iv,verlaging intraoculaire druk,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,verlaging intraoculaire druk,,,,,,,,,,,,mg,,,,,,,
acetaZOLAMIDE,tablet,or,verlaging intraoculaire druk,,,1,240,,,,,,,3 x / dag||4 x / dag,mg,,10,30,1000,,x,
acetylCYSTeine,vernevelvloeistof,inh,blaasaugmentatie na operatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,intravesic,blaasaugmentatie na operatie,,,,,,,,,,,,mg,,,,,,,
acetylCYSTeine,infusievloeistof,iv,blaasaugmentatie na operatie,,,,,,,,,,,,mg,,,,,,,
